ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
368, 143, (-6.6;-49.8;35.5),["None": 0.90],["Precuneus_L": 0.49]["Cingulum_Mid_L": 0.29]["Cingulum_Post_L": 0.22],["Left Precuneus": 0.62]["Left Posterior Cingulate Cortex": 0.20]["Left Middle Cingulate Cortex": 0.17],["Left Precuneus": 0.56]["Left Cingulate Gyrus": 0.33],["Left Cingulate Gyrus; posterior division": 0.48]["Left Precuneous Cortex": 0.41]
370, 111, (-54.1;7.2;15.6),["None": 0.91],["Frontal_Inf_Oper_L": 0.71]["Rolandic_Oper_L": 0.14]["Precentral_L": 0.12],["Left Inferior Frontal Gyrus (p. Opercularis)": 0.83],["Left Precentral Gyrus": 0.54]["Left Inferior Frontal Gyrus": 0.46],["Left Precentral Gyrus": 0.59]["Left Inferior Frontal Gyrus; pars opercularis": 0.41]
371, 135, (-0.8;31.3;40.6),["None": 0.87]["ACC": 0.13],["Frontal_Sup_Medial_L": 0.59]["Frontal_Sup_Medial_R": 0.24]["Cingulum_Mid_R": 0.12],["Left Superior Medial Gyrus": 0.59]["Right Superior Medial Gyrus": 0.21]["Right Middle Cingulate Cortex": 0.15],["Left Medial Frontal Gyrus": 0.47]["Right Medial Frontal Gyrus": 0.30],["Right Paracingulate Gyrus": 0.41]["Left Paracingulate Gyrus": 0.35]["Left Superior Frontal Gyrus": 0.13]["Right Superior Frontal Gyrus": 0.11]
372, 139, (24.7;-62.1;-10.1),["None": 0.93],["Fusiform_R": 0.48]["Lingual_R": 0.30]["Cerebelum_6_R": 0.17],["Right Cerebellum": 0.42]["Right Fusiform Gyrus": 0.37]["Right Lingual Gyrus": 0.17],["Right Declive": 0.58]["Right Fusiform Gyrus": 0.14]["Right Lingual Gyrus": 0.14],["Right Lingual Gyrus": 0.40]["Right Occipital Fusiform Gyrus": 0.32]["Right Temporal Occipital Fusiform Cortex": 0.19]
373, 100, (-11.2;12.6;5.8),["None": 1.00],["Caudate_L": 0.79]["Putamen_L": 0.15],["Left Caudate Nucleus": 0.79]["Left Putamen": 0.21],["Left Caudate": 0.81]["Left Lentiform Nucleus": 0.19],["Left Caudate": 0.88]["Left Putamen": 0.12]
374, 91, (-57.0;-16.0;-20.5),["None": 0.97],["Temporal_Mid_L": 0.76]["Temporal_Inf_L": 0.24],["Left Inferior Temporal Gyrus": 0.53]["Left Middle Temporal Gyrus": 0.47],["Left Inferior Temporal Gyrus": 0.58]["Left Fusiform Gyrus": 0.42],["Left Middle Temporal Gyrus; posterior division": 0.59]["Left Inferior Temporal Gyrus; posterior division": 0.27]["Left Middle Temporal Gyrus; anterior division": 0.13]
375, 103, (27.3;-1.5;-7.1),["None": 0.96],["Putamen_R": 0.43]["Amygdala_R": 0.30]["Pallidum_R": 0.24],["Right Amygdala": 0.45]["Right Putamen": 0.29],["Right Lentiform Nucleus": 0.47]["Right Parahippocampal Gyrus": 0.29]["Right Subcallosal Gyrus": 0.13],["Right Putamen": 0.51]["Right Amygdala": 0.26]["Right Pallidum": 0.13]
376, 107, (23.9;-71.9;49.6),["None": 1.00],["Parietal_Sup_R": 0.62]["Occipital_Sup_R": 0.17]["Precuneus_R": 0.13],["Right Superior Occipital Gyrus": 0.46]["Right Superior Parietal Lobule ": 0.26]["Right Precuneus": 0.15],["Right Precuneus": 0.60]["Right Superior Parietal Lobule": 0.36],["Right Lateral Occipital Cortex; superior division": 0.98]
377, 141, (-15.2;-57.1;-20.7),["None": 0.75]["med cerebellum": 0.13],["Cerebelum_6_L": 0.60]["Cerebelum_4_5_L": 0.38],["Left Cerebellum": 0.77]["Left Cerebellum": 0.21],["Left Culmen": 0.39]["Left Nodule": 0.19]["Left Declive": 0.19],["None": 0.93]
378, 177, (0.7;-63.8;1.3),["None": 1.00],["Lingual_R": 0.32]["Lingual_L": 0.27]["Vermis_4_5": 0.23],["Left Lingual Gyrus": 0.28]["Right Lingual Gyrus": 0.24]["Cerebellar Vermis": 0.23],["Left Lingual Gyrus": 0.19]["Right Culmen": 0.18]["Right Lingual Gyrus": 0.17]["Right Culmen of Vermis": 0.14]["Left Culmen": 0.12],["Right Lingual Gyrus": 0.53]["Left Lingual Gyrus": 0.33]
379, 120, (-30.0;49.3;21.2),["None": 0.94],["Frontal_Mid_L": 0.95],["Left Middle Frontal Gyrus": 0.93],["Left Middle Frontal Gyrus": 0.51]["Left Superior Frontal Gyrus": 0.49],["Left Frontal Pole": 1.00]
380, 96, (7.3;-14.5;45.7),["None": 1.00],["Cingulum_Mid_R": 0.82]["Supp_Motor_Area_R": 0.18],["Right Middle Cingulate Cortex": 0.92],["Right Medial Frontal Gyrus": 0.44]["Right Cingulate Gyrus": 0.41]["Right Paracentral Lobule": 0.16],["Right Precentral Gyrus": 0.30]["Right Cingulate Gyrus; posterior division": 0.28]["Right Cingulate Gyrus; anterior division": 0.21]["Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.19]
381, 119, (-24.0;-71.4;49.0),["None": 1.00],["Parietal_Sup_L": 0.82]["Parietal_Inf_L": 0.18],["Left Superior Parietal Lobule ": 0.60]["Left Inferior Parietal Lobule ": 0.34],["Left Precuneus": 0.49]["Left Superior Parietal Lobule": 0.42],["Left Lateral Occipital Cortex; superior division": 1.00]
383, 78, (51.8;-9.2;-13.3),["None": 0.87]["inf temporal": 0.13],["Temporal_Mid_R": 0.64]["Temporal_Sup_R": 0.36],["Right Middle Temporal Gyrus": 0.78]["Right Superior Temporal Gyrus": 0.13],["Right Middle Temporal Gyrus": 0.72]["Right Fusiform Gyrus": 0.12],["Right Superior Temporal Gyrus; posterior division": 0.32]["Right Middle Temporal Gyrus; posterior division": 0.23]["Right Superior Temporal Gyrus; anterior division": 0.17]["Right Middle Temporal Gyrus; anterior division": 0.17]
384, 97, (-42.4;-50.3;-33.9),["None": 0.91],["Cerebelum_Crus1_L": 0.91],["Left Cerebellum": 0.86]["Left Cerebellum": 0.11],["Left Cerebellar Tonsil": 0.92],["None": 0.90]
385, 49, (-25.5;47.6;-13.5),["None": 1.00],["Frontal_Mid_Orb_L": 0.80]["Frontal_Inf_Orb_L": 0.12],["Left Middle Orbital Gyrus": 0.82]["Left Inferior Frontal Gyrus (p. Orbitalis)": 0.18],["Left Superior Frontal Gyrus": 0.71]["Left Middle Frontal Gyrus": 0.29],["Left Frontal Pole": 1.00]
386, 84, (22.4;52.7;31.4),["None": 0.93],["Frontal_Sup_R": 0.56]["Frontal_Mid_R": 0.44],["Right Superior Frontal Gyrus": 0.56]["Right Middle Frontal Gyrus": 0.44],["Right Superior Frontal Gyrus": 1.00],["Right Frontal Pole": 1.00]
387, 94, (35.9;54.9;6.6),["None": 1.00],["Frontal_Mid_R": 0.85]["Frontal_Sup_R": 0.15],["Right Middle Frontal Gyrus": 0.68]["Right Middle Orbital Gyrus": 0.24],["Right Middle Frontal Gyrus": 0.82]["Right Superior Frontal Gyrus": 0.14],["Right Frontal Pole": 1.00]
388, 92, (-38.0;12.8;-34.6),["None": 1.00],["Temporal_Pole_Mid_L": 0.73]["Temporal_Inf_L": 0.18],["Left Medial Temporal Pole": 0.79]["Left Inferior Temporal Gyrus": 0.13],["Left Superior Temporal Gyrus": 0.58]["Left Middle Temporal Gyrus": 0.26]["None": 0.16],["Left Temporal Pole": 1.00]
389, 79, (3.4;-39.1;59.0),["None": 1.00],["Paracentral_Lobule_R": 0.44]["Precuneus_L": 0.18]["Precuneus_R": 0.15],["Right Precuneus": 0.39]["Left Precuneus": 0.20]["Right Paracentral Lobule": 0.18]["Left Middle Cingulate Cortex": 0.16],["Right Paracentral Lobule": 0.65]["Left Paracentral Lobule": 0.29],["Right Postcentral Gyrus": 0.47]["Right Precuneous Cortex": 0.24]["Left Postcentral Gyrus": 0.14]
391, 126, (16.4;-41.5;-11.8),["None": 0.99],["Cerebelum_4_5_R": 0.52]["Lingual_R": 0.17]["ParaHippocampal_R": 0.15]["Cerebelum_3_R": 0.13],["Right Cerebellum": 0.63]["Right Cerebellum": 0.20]["Right Lingual Gyrus": 0.12],["Right Culmen": 0.93],["Right Lingual Gyrus": 0.59]["Right Parahippocampal Gyrus; posterior division": 0.21]["None": 0.19]
392, 79, (-8.7;64.9;9.4),["None": 1.00],["Frontal_Sup_Medial_L": 0.81]["Frontal_Sup_L": 0.19],["Left Superior Medial Gyrus": 0.68]["Left Mid Orbital Gyrus": 0.18]["Left Superior Frontal Gyrus": 0.14],["Left Superior Frontal Gyrus": 0.56]["Left Medial Frontal Gyrus": 0.44],["Left Frontal Pole": 1.00]
393, 111, (7.7;-16.0;70.7),["None": 1.00],["Supp_Motor_Area_R": 0.81],["Right SMA": 0.72]["RightPrecentral Gyrus": 0.11],["None": 0.55]["Right Medial Frontal Gyrus": 0.41],["Right Precentral Gyrus": 0.74]["Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.22]
394, 130, (-42.3;-7.3;-6.5),["None": 1.00],["Temporal_Sup_L": 0.68]["Insula_L": 0.32],["Left Superior Temporal Gyrus": 0.74]["Left Insula Lobe": 0.19],["Left Superior Temporal Gyrus": 0.37]["Left Insula": 0.35]["None": 0.22],["Left Planum Polare": 0.55]["Left Insular Cortex": 0.40]
395, 124, (61.8;-52.5;13.7),["None": 1.00],["Temporal_Mid_R": 0.76]["Temporal_Sup_R": 0.14],["Right Middle Temporal Gyrus": 0.88],["Right Superior Temporal Gyrus": 0.53]["Right Middle Temporal Gyrus": 0.39],["Right Middle Temporal Gyrus; temporooccipital part": 0.56]["Right Angular Gyrus": 0.39]
396, 79, (25.3;7.4;-17.9),["None": 1.00],["Olfactory_R": 0.23]["Temporal_Pole_Sup_R": 0.23]["ParaHippocampal_R": 0.18]["Putamen_R": 0.11],["Right Temporal Pole": 0.32]["Right ParaHippocampal Gyrus": 0.20]["Right Olfactory cortex": 0.19]["Right Insula Lobe": 0.16]["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.11],["Right Inferior Frontal Gyrus": 0.30]["Right Uncus": 0.29]["Right Superior Temporal Gyrus": 0.23]["Right Subcallosal Gyrus": 0.11],["Right Frontal Orbital Cortex": 0.53]["Right Temporal Pole": 0.20]["Right Amygdala": 0.11]
397, 93, (40.7;46.5;18.5),["None": 0.84]["vlPFC": 0.16],["Frontal_Mid_R": 1.00],["Right Middle Frontal Gyrus": 1.00],["Right Middle Frontal Gyrus": 0.85]["Right Superior Frontal Gyrus": 0.15],["Right Frontal Pole": 1.00]
398, 107, (12.1;-14.4;11.1),["None": 0.85]["thalamus": 0.15],["Thalamus_R": 0.98],["Right Thalamus": 1.00],["Right Thalamus": 0.96],["Right Thalamus": 0.98]
399, 98, (2.0;-26.4;-20.4),["None": 1.00],["None": 1.00],["None": 0.97],["None": 0.99],["None": 1.00]
400, 102, (-29.1;39.9;32.6),["None": 1.00],["Frontal_Mid_L": 0.88]["Frontal_Sup_L": 0.12],["Left Middle Frontal Gyrus": 0.96],["Left Middle Frontal Gyrus": 0.59]["Left Superior Frontal Gyrus": 0.39],["Left Frontal Pole": 0.76]["Left Middle Frontal Gyrus": 0.23]
